knowledge_point_type,question,option_A,option_B,option_C,option_D,answer,difficulty,bloom_level
二叉树的遍历,任何一棵二叉树的叶结点在先序、中序和后序遍历序列中的相对次序 ()。,不发生改变,发生改变,不能确定,以上都不对,A,4,b
二叉树的定义及其主要特性,"假定在一棵二叉树中，度为 2 的结点数为 15, 度为 1 的结点数为 30, 则叶子结点数为 () 个。",15,16,17,47,B,4,b
二叉树的定义,在下列情况中，可称为二叉树的是 ()。,每个结点至多有两棵子树的树,哈夫曼树,每个结点至多有两棵子树的有序树,每个结点只有一棵子树,B,4,b
二叉树的存储结构,用顺序存储的方法，将完全二叉树中所有结点按层逐个从左到右的顺序存放在一维数组 R [1..N] 中，若结点 R [i] 有左孩子，则其左孩子是 ()。,R [2i-1],R [2i+1],R [2i],R [2/i],C,4,b
二叉树的定义,下面说法中正确的是 ()。,度为 2 的树是二叉树,度为 2 的有序树是二叉树,子树有严格左右之分的树是二叉树,子树有严格左右之分，且度不超过 2 的树是二叉树,D,4,b
树、森林与二叉树的转换,树的先根序列等同于与该树对应的二叉树的 ()。,先序序列,中序序列,后序序列,层序序列,A,4,b
二叉树的定义,按照二叉树的定义，具有 3 个结点的二叉树有 () 种。,3,4,5,6,C,4,b
哈夫曼树和哈夫曼编码,"由权值为 3,6,7,2,5 的叶子结点生成一棵哈夫曼树，它的带权路径长度为 ()。",51,23,53,74,A,5,c
二叉树的遍历,在二叉树后序遍历中，任一个结点均在其子女结点后面，这种说法（ ）。,,不正确,无法判断,以上均不对,A,1,a
二叉树的遍历,在二叉树先序遍历中，任一个结点均在其子女结点前面，这种说法（ ）。,正确,不正确,无法判断,以上均不对,A,1,a
二叉树的性质,设深度为 h 的二叉树上只有叶子结点和同时具有左右子树的结点，则此类二叉树中所包含的结点数目至少为（ ）。,2h,2h,2h＋1,2h-l,D,4,c
二叉树的性质,二叉村第 k 层上最多有（ ）个结点。,2k,2k-1,2k-1,2k+1,C,1,a
二叉树的性质,二叉树的深度为 k，则二叉树最多有（ ）个结点。,2k,2k-1,2k-1,2k -1,C,1,a
二叉树的遍历,设某一二叉树先序遍历为 abdec，中序遍历为 dbeac，则该二叉树后序遍历的顺序是（ ）。,abdec,debac,debca,abedc,C,5,d
二叉树的遍历,设某一二叉树中序遍历为 badce，后序遍历为 bdeca，则该二叉树先序遍历的顺序是（ ）。,adbec,decab,debac,abode,D,5,d
树、森林与二叉树的转换,将一棵树 T 转换为一棵二叉树 T2，则 T 的先序遍历是 T2 的（ ）。,先序,中序,后序,无法确定,A,3,b
树、森林与二叉树的转换,将一棵树 T 转换为一棵二叉树 T2，则 T 的后序遍历是 T2 的（ ）。,先序,中序,后序,无法碉定,B,3,b
树的定义,树最适合于用来表示（ ）。,线性结构的数据,顺序结构的数据,元素之间无前驱和后继关系的数据,元素之间有包含和层次关系的数据,D,1,a
二叉树的遍历,二叉树的叶子结点在先序、中序和后序遍历过程中的相对秩序（ ）。,发生改变,不发生改变,无法确定,以上均不正确,B,3,b
二叉树的性质,设一棵二叉树度为 2 的结点数是 7，度为 1 的结点数是 6，则叶子结点数是（ ）。,6,7,8,9,C,2,a
完全二叉树的顺序存储,用顺序存储的方法，将完全二叉树中所有结点按层逐个从左到右的顺序存放在一维数组 R [1．．n] 中，若结点 R [i] 有左孩子，则其左孩子是（ ）。,R [2i-1],R [2i+1],R [2i],R [2/i],C,2,a
完全二叉树的顺序存储,用顺序存储的方法，将完全二叉树中所有结点按层逐个从左到右的顺序存放在一维数组 R [1．．n] 中，若结点 R [i] 有右孩子，则其右孩子是（ ）。,R [2i-1],R [2i＋l],R [2i],R [2/i],B,2,a
二叉树的遍历,一棵非空的二叉树，先序遍历与后序遍历正好相反，则该二叉树满足（ ）。,无左孩子,无右孩子,只有一个叶子结点,任意二叉树,C,4,c
二叉树的遍历,设 a、b 为一棵二叉树的两个结点，在后序遍历中，a 在 b 前的条件是（ ）。,a 在 b 上方,a 在 b 下方,a 在 b 左方,a 在 b 右方,C,3,b
线索二叉树,线索二叉树是一种（ ）。,逻辑结构,线性结构,逻辑和线性结构,物理结构,D,2,a
线索二叉树,N 个结点的线索二叉树中，线索的数目是（ ）。,N-1,N＋1,2N,2N－1,B,4,c
哈夫曼树和哈夫曼编码,权值为｛l，2，6，8｝的四个结点构成的哈夫曼树的带权路径长度是（ ）。,18,28,19,29,B,4,c
线索二叉树,实现任意二叉树的后序遍历的非递归算法而不使用栈结构，最佳方案是二叉村采用（ ）存储结构。,二叉链表,广义表存储结构,三叉链表,顺序存储结构,C,5,d
满二叉树的性质,对一个满二叉树，m 个树叶，k 个分枝结点，n 个结点，则（ ）。,n＝m＋1,m+1=2n,m＝k-1,n=2k+1,D,3,b
平衡二叉树,具有五层结点的二叉平衡树至少有（ ）个结点。,10,12,15,17,B,5,d
二叉树的遍历,设 n，m 为一棵二叉树上的二个结点，在中序遍历时，n 在 m 前的条件是（ ）。,n 在 m 右方,n 是 m 祖先,n 在 m 左方,n 是 m 子孙,C,2,a
线索二叉树,线索二又树是一种（ ）结构。,逻辑,逻辑和物理,物理,线性,C,2,a
完全二叉树的顺序存储,将一棵有 100 个结点的完全二又树从根这一层开始，每一层上从左到右依次对结点进行编号，根结点的编号为 1，则编号为 49 的结点的左孩子编号为（ ）。,98,99,50,48,A,3,b
图的存储结构 - 邻接矩阵法,对于具有 n 个顶点的图，若采用邻接矩阵表示，则该矩阵的大小为 ()。,n,n×n,n-1,(n-1)²,B,3,a
图的遍历与图的连通性,如果从无向图的任一顶点出发进行一次深度优先搜索即可访问所有顶点，则该图一定是 ()。,完全图,连通图,有回路,一棵树,B,3,a
关键路径,关键路径是事件结点网络中 ()。,从源点到汇点的最长路径,从源点到汇点的最短路径,最长的回路,最短的回路,A,4,b
拓扑排序,下面 () 可以判断出一个有向图中是否有环 (回路)。,广度优先遍历,拓扑排序,求最短路径,求关键路径,B,4,b
图的存储结构 - 邻接矩阵法,带权有向图 G 用邻接矩阵 A 存储，则顶点 i 的入度等于 A 中 ()。,第 i 行非无穷的元素之和,第 i 列非无穷的元素个数之和,第 i 行非无穷且非 0 的元素个数,第 i 行与第 i 列非无穷且非 0 的元素之和,B,5,c
图的遍历 - 深度优先搜索,采用邻接表存储的图，其深度优先遍历类似于二叉树的 ()。,中序遍历,先序遍历,后序遍历,按层次遍历,B,4,b
图的存储结构 - 邻接矩阵法,无向图的邻接矩阵是一个 ()。,对称矩阵,零矩阵,上三角矩阵,对角矩阵,A,3,a
队列的顺序存储结构,当利用大小为 N 的数组存储循环队列时，该队列的最大长度为 ()。,N,N+1,N-1,N-2,C,4,b
图的存储结构 - 邻接表法,邻接表是图的一种 ()。,顺序存储结构,链式存储结构,索引存储结构,散列存储结构,B,3,a
拓扑排序,下面有向图所示的拓扑排序的结果序列是 ()。,125634,516234,123456,521643,A,5,c
图的基本概念,在无向图中定义顶点 vi 与 vj 之间的路径为从 vi 到 vj 的一个 ()。,顶点序列,边序列,权值总和,边的条数,A,3,a
图的存储结构 - 邻接表法,在有向图的逆邻接表中，每个顶点邻接表链接着该顶点所有 () 邻接点。,入边,出边,入边和出边,不是出边也不是入边,A,4,b
图的基本概念," 设 G1=(V 1,E1)和 G2=(V2 ,E2)为两个图，如果V1⊆V2, E1⊆E2则称 ()。",G1 是 G2 的子图,G2 是 G1 的子图,G1 是 G2 的连通分量,G2 是 G1 的连通分量,A,3,a
图的存储结构 - 邻接矩阵法,已知一个有向图的邻接矩阵表示，要删除所有从第 i 个结点发出的边，应 ()。,将邻接矩阵的第 i 行删除,将邻接矩阵的第 i 行元素全部置为 0,将邻接矩阵的第 i 列删除,将邻接矩阵的第 i 列元素全部置为 0,B,4,b
拓扑排序,任一个有向图的拓扑序列 ()。,不存在,有一个,一定有多个,有一个或多个,D,4,b
图的基本概念,在一个无向图 G 中，所有顶点的度数之和等于所有边数之和的（ ）倍。,l/2,1,2,4,C,1,a
图的基本概念,在一个有向图中，所有顶点的入度之和等于所有顶点的出度之和的（）倍。,l/2,1,2,4,B,1,a
图的连通性,一个具有 n 个顶点的无向联通图至少包含（ ）条边。,n,n＋1,n-1,n/2,C,1,a
完全图的概念,一个具有 n 个顶点的无向完全图包含（ ）条边。,n (n-l),n (n+l),n (n-l)/2,n (n+l)/2,C,1,a
完全图的概念,一个具有 n 个顶点的有向完全图包含（ ）条边。,n (n-1),n (n+l),n (n-l)/2,n (n+l)/2,A,1,a
图的存储结构,对于具有 n 个顶点的图，若采用邻接矩阵表示，则该矩阵的大小为（ ）。,n,n²,n-1,(n-l)²,B,1,a
邻接表法,对于一个具有 n 个顶点和 e 条边的无向图，若采用邻接表表示，则表头向量的大小为（ ）。,n,e,2n,2e,A,1,a
邻接表法,对于一个具有 n 个顶点和 e 条边的无向图，若采用邻接表表示，则所有顶点邻接表中的结点总数为（ ）。,n,e,2n,2e,D,2,a
邻接表法,在有向图的邻接表中，每个顶点邻接链表链接着该顶点所有（ ）邻接点。,入边,出边,入边和出边,不是入边也不是出边,B,2,a
逆邻接表法,在有向图的逆邻接表中，每个顶点邻接链表链接着该顶点所有（ ）邻接点。,入边,出边,入边和出边,不是人边也不是出边,A,2,a
图的遍历,下列说法中不正确的是（ ）。,无向图中的极大连通子图称为连通分量,连通图的广度优先搜索中一般要采用队列来暂存刚访问过的顶点,图的深度优先搜索中一般要采用栈来暂存刚访问过的顶点,有向图的遍历不可采用广度优先搜索方法,D,3,b
生成树的概念,"设无向连通图 G=(V, E) 和 G’= (V’, E’)，如果 G’为 G 的生成树，则下列说法中不正确的是（ ）。",G’为 G 的连通分量,G’为 G 的无环子图,G’为 G 的子图,G’为 G 的极小连通子图且 V’＝V,A,3,b
图的连通性,如果无向图 G 必须进行二次广度优先搜索才能访问其所有顶点，则下列说法中不正确的是（ ）。,G 肯定不是完全图,G 一定不是连通图,G 中一定有回路,G 有二个连通分量,C,3,b
图的存储结构,邻接表是图的一种（ ）。,顺序存储结构,链式存储结构,索引存储结构,散列存储结构,B,1,a
图的连通性,如果从无向图的任一顶点出发进行一次深度优先搜索即可访问所有顶点，则该图一定是（ ）。,完全图,连通图,有回路,一棵树,B,1,a
图的遍历,下列有关图遍历的说法不正确的是（ ）。,连通图的深度优先搜索是一个递归过程,图的广度优先搜索中邻接点的寻找具有 “先进先出” 的特征,非连通图不能用深度优先搜索法,图的遍历要求每一顶点仅被访问一次,C,3,b
生成树的概念,一个无向连通图的生成树是含有该连通图的全部顶点的（ ）。,极小连通子图,极小子图,极大连通子图,极大子图,A,2,a
邻接矩阵法,无向图的邻接矩阵是一个（ ）。,对称矩阵,零矩阵,上三角矩阵,对角矩阵,A,1,a
图的深度优先搜索,已知一个图如下图所示，若从顶点 a 出发按深度优先搜索法进行遍历，则可能得到的一种顶点序列为（ ）。,abecdf,acfebd,acebfd,acfdeb,C,4,c
图的基本概念,"在一个有向图中,所有顶点的入度之和等于所有顶点的出度之和的()倍。",1月2日,1,2,4,B,3,a
图的遍历-广度优先搜索,图的广度优先遍历类似于二叉树的()。,先序遍历,中序遍历,后序遍历,层序遍历,D,3,a
图的遍历-深度优先搜索,图的深度优先遍历类似于二叉树的()。,先序遍历,中序遍历,后序遍历,层序遍历,A,3,a
最小生成树-Prim算法,"用Prim算法求一个连通的带权图的最小代价生成树,在算法执行的某时刻,已选取的顶点集合U={1,2,3},已选取的边集合TE={(1,2),(2,3)},要选取下一条权值最小的边,应当从()组中选取。","所有顶点u∈U,顶点v∈V-U的边(u,v)","所有顶点u∈V-U,顶点v∈V-U的边(u,v)","所有顶点u∈V-U,顶点v∈U的边(u,v)","所有顶点u∈U,顶点v∈U的边(u,v)",A,4,b
图的基本概念,"在一个具有n个顶点的无向完全图中,包含有()条边。",n(n-1)/2,n(n-1),n(n+1)/2,n²,A,3,a
图的基本概念,"在一个具有n个顶点的有向完全图中,包含有()条边。",n(n-1)/2,n(n-1),n(n+1)/2,n²,B,3,a
关键路径,"在AOE网中,关键路径上活动的时间延长多少,整个工程的时间也就随之延长多少。因此,要想缩短整个工程的工期,必须加快()上活动的进度。",最短路径,最长路径,关键路径,所有路径,C,4,b
最短路径-Dijkstra算法,Dijkstra算法用于求解图中()。,所有顶点到某一顶点的最短路径,某一顶点到所有顶点的最短路径,所有顶点到所有顶点的最短路径,图的最小生成树,B,4,b
最短路径-Floyd算法,Floyd算法用于求解图中()。,所有顶点到某一顶点的最短路径,某一顶点到所有顶点的最短路径,所有顶点到所有顶点的最短路径,图的最小生成树,C,4,b
图的存储结构-邻接表法,"在有向图的邻接表存储结构中,顶点v在邻接表中出现的次数是()。",顶点v的度,顶点v的出度,顶点v的入度,依附于顶点v的边数,C,4,b
最小生成树-Kruskal算法,Kruskal算法的时间复杂度为()。,O(n),O(n²),O(eloge),O(n³),C,4,b
最小生成树-Prim算法,Prim算法的时间复杂度为()。,O(n),O(n²),O(eloge),O(n³),B,4,b
图的遍历-深度优先搜索,"对于一个具有n个顶点和e条边的无向图,若采用邻接表表示,则所有顶点邻接表中的边结点总数为()。",e/2,e,2e,n+e,C,4,b
图的遍历-广度优先搜索,广度优先遍历类似于二叉树的()。,先序遍历,中序遍历,后序遍历,层次遍历,D,3,a
图的基本概念,"在一个无向图中,所有顶点的度数之和等于边数的()倍。",1月2日,1,2,4,C,3,a
图的存储结构-邻接矩阵法,"在一个有n个顶点的无向图中,若采用邻接矩阵表示,则该矩阵的大小为()。",n,n×n,n-1,n+1,B,3,a
图的存储结构-邻接表法,"在一个有n个顶点和e条边的无向图中,若采用邻接表表示,则表头向量的大小为()。",n,n+1,n-1,e,A,3,a
图的存储结构-邻接表法,"在一个有n个顶点和e条边的无向图中,若采用邻接表表示,则表中的边结点总数为()。",e/2,e,2e,n+e,C,3,a
图的遍历-深度优先搜索,"已知一个图的邻接表存储结构,若要删除所有从顶点v发出的边,则需要遍历()。",整个邻接表,邻接表中顶点v的单链表,邻接表中所有顶点的单链表,邻接表中顶点v的单链表和所有顶点的单链表,B,4,b
图的遍历-广度优先搜索,"在图的广度优先遍历算法中,需要使用的辅助数据结构是()。",栈,队列,树,图,B,3,a
图的遍历-深度优先搜索,"在图的深度优先遍历算法中,需要使用的辅助数据结构是()。",栈,队列,树,图,A,3,a
图的基本概念,"一个有n个顶点的无向连通图,其边数至少为()。",n-1,n,n+1,nlogn,A,3,a
图的基本概念,"一个有n个顶点的有向强连通图,其边数至少为()。",n-1,n,n+1,n(n-1),B,4,b
图的遍历-深度优先搜索,"在一个有向图中,若存在一个顶点v,从该顶点出发可以到达图中所有其他顶点,则称该图为()。",强连通图,弱连通图,单侧连通图,连通图,C,4,b
图的遍历-深度优先搜索,"在一个有向图中,若对于每一对顶点u和v,都存在从u到v和从v到u的路径,则称该图为()。",强连通图,弱连通图,单侧连通图,连通图,A,3,a
图的遍历-深度优先搜索,"在一个有向图中,若将其边视为无向边后得到的无向图是连通的,则称该有向图为()。",强连通图,弱连通图,单侧连通图,连通图,B,3,a
图的基本概念,"在一个具有n个顶点的无向图中,若要保证图是连通的,则至少需要()条边。",n-1,n(n-1)/2,n(n-1),n,A,3,a
图的基本概念,"在一个具有n个顶点的有向图中,若要保证图是强连通的,则至少需要()条边。",n-1,n,n(n-1)/2,n(n-1),B,4,b
图的遍历-深度优先搜索,"在一个有向图中,若存在一个顶点v,从该顶点出发可以到达图中所有其他顶点,则称该图为()。",强连通图,弱连通图,单侧连通图,连通图,C,4,b
图的遍历-深度优先搜索,"在一个有向图中,若对于每一对顶点u和v,都存在从u到v和从v到u的路径,则称该图为()。",强连通图,弱连通图,单侧连通图,连通图,A,3,a
图的遍历-深度优先搜索,"在一个有向图中,若将其边视为无向边后得到的无向图是连通的,则称该有向图为()。",强连通图,弱连通图,单侧连通图,连通图,B,3,a
图的基本概念,"在一个具有n个顶点的无向图中,若要保证图是连通的,则至少需要()条边。",n-1,n(n-1)/2,n(n-1),n,A,3,a
图的基本概念,"在一个具有n个顶点的有向图中,若要保证图是强连通的,则至少需要()条边。",n-1,n,n(n-1)/2,n(n-1),B,4,b
顺序查找,在顺序表中进行顺序查找，其平均查找长度为 ()。,(n+1)/2,n/2,n,log₂n,A,3,a
折半查找,对长度为 n 的有序顺序表进行折半查找，其平均查找长度为 ()。,O (log₂n),O (n),O (nlog₂n),O (n²),A,4,b
折半查找,"折半查找有序表 (4,6,10,12,18,20,24,26,30,32,36), 若查找元素 20, 需进行 () 次比较。",2,3,4,5,B,4,b
分块查找,分块查找中，若索引表和块内均采用顺序查找，则其平均查找长度为 ()。,O (log₂n),O (√n),O (n),O (nlog₂n),B,5,c
二叉排序树 (BST),在二叉排序树中，左子树上所有结点的值均 () 根结点的值。,<,>,=,≤,A,3,a
二叉排序树 (BST),在二叉排序树中，右子树上所有结点的值均 () 根结点的值。,>,<,=,≤,A,3,a
二叉排序树 (BST),在二叉排序树中，中序遍历序列是 () 序列。,无序,有序,逆序,随机,B,3,a
平衡二叉树,平衡二叉树中每个结点的平衡因子的绝对值不超过 ()。,0,1,2,3,B,3,a
顺序查找,顺序查找方法适合于存储结构为（ ）的线性表,散列存储,索引存储,散列存储或索引存储,顺序存储或链接存储,D,1,a
折半查找,对线性表进行二分查找的时候，要求线性表必须（ ）。,以顺序存储方式,以链接存储方式,以顺序存储方式，且数据元素有序,以链接存储方式，且数据元素有序,C,1,a
分块查找,如果要求一个线性表既能较快地查找，又能动态适应变化要求，可以采用（ ）查找方法。,顺序,分块,折半,散列,B,2,b
线性表的存储结构,对于一个线性表，若要求既能进行较快地插入和删除，又要求存储结构能够反映数据元素之间的逻辑关系，则应该 ( ) 。,以顺序存储方式,以链接存储方式,以索引存储方式,以散列存储方式,B,2,b
顺序表的特点,在线性表的存储结构中，（ ）查找、插入和删除速度慢，但顺序存储和随机存取第 i 个元素速度快。,顺序表,链接表,散列表,索引表,A,2,a
顺序表的特点,在 ( ) 上查找和存取速度快，但插入和删除速度慢。,顺序表,链接表,顺序有序表,散列表,A,2,a
散列表的特点,在 ( ) 上查找、插入和删除速度快，但不能进行顺序存取。,顺序表,链接表,顺序有序表,散列表,D,2,a
链接表的特点,在 ( ) 上插入、删除和顺序存取速度快，但查找速度慢。,顺序表,链接表,顺序有序表,散列表,B,2,a
顺序查找的性能,采用顺序查找方法查找长度为 n 的线性表，查找每个元素的平均比较次数为 ( ),n,n/2,(n+1)/2,(n-1)/2,C,2,a
顺序查找的时间复杂度,顺序查找具有 n 个元素的线性表，其时间复杂度为 ( ) 。,O (n),O (log2n),O (n²),O (nlog2n),A,1,a
折半查找的时间复杂度,折半查找具有 n 个元素的线性表，其时间复杂度为 ( ) 。,O (n),O (log2n),O (n²),O (nlog2n),B,1,a
折半查找的应用,"己知一个有序表为 (11,22,33,44,55,66,77, 88,99), 则折半查找元素 55 需要比较 ( ) 次。",1,2,3,4,C,2,b
顺序查找的应用,"已知一个有序表为 (11,22,33,44,55,66,77,88,99), 则顺序查找元素 55 需要比较 ( ) 次。",3,4,5,6,C,2,b
顺序查找和折半查找的存储要求,顺序查找法与二分查找法对存储结构的要求是 ( ) 。,顺序查找与二分查找均只是适用于顺序表,顺序查找与二分查找均既适用于顺序表，也适用于链表,顺序查找只是适用于顺序表,二分查找适用于顺序表,D,2,b
动态查找表的概念,在对查找表的查找过程中，若被查找的数据元素不存在，则把该数据元素插到集合中。这种方式主要适合于 ( ) 。,静态查找表,动态查找表,静态查找表与动态查找表,两种表都不适合,B,2,a
折半查找的步骤,若用二分查找取得的中间位置元素关键字值大于被查找值，则说明被查找值位于中间值的前面，下次的查找区间为从原开始位置至 ( ) 。,该中间位置,该中间位置 - 1,该中间位置 + 1,该中间位置 1/2,B,2,b
二叉排序树的遍历,二叉排序树（ ）遍历序列是从小到大有序的。,先序,中序,后序,层序,B,1,a
B 树及其基本操作,m 阶 B 树中每个非叶子结点至少有 () 棵子树。,m/2,⌈m/2⌉,⌊m/2⌋,m-1,B,5,c
二叉排序树 (BST),在二叉排序树中，右子树上所有结点的值均 () 根结点的值。,>,<,=,≤,A,3,a
二叉排序树 (BST),在二叉排序树中，中序遍历序列是 () 序列。,无序,有序,逆序,随机,B,3,a
散列表的基本概念,散列函数有一个共同的性质，即函数值应当以 () 概率取其值域的每个值。,最大,最小,均匀,随机,C,4,b
散列表处理冲突的方法,处理散列冲突的方法不包括 ()。,线性探测法,链地址法,二分法,再哈希法,C,3,a
散列查找及性能分析,散列查找的平均查找长度 ()。,与处理冲突方法无关,与散列函数无关,与散列表长度无关,与装填因子有关,D,4,b
排序的定义,排序的稳定性是指 ()。,排序算法的时间复杂度稳定,排序算法的空间复杂度稳定,排序前后相同关键字的相对顺序不变,排序前后相同关键字的绝对顺序不变,C,3,a
直接插入排序,直接插入排序的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),B,3,a
冒泡排序,冒泡排序在最好情况下的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),A,4,b
快速排序,快速排序在平均情况下的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),C,4,b
简单选择排序,简单选择排序的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),B,3,a
堆排序,堆排序的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),C,4,b
归并排序,归并排序的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),C,4,b
基数排序,基数排序的时间复杂度为 ()。,O (n+k),O (n²),O (nk),O (klog₂n),C,5,c
基数排序,基数排序的时间复杂度为 ()。,O (n+k),O (n²),O (nk),O (klog₂n),C,5,c
插入排序的稳定性,直接插入排序是一种 () 的排序算法。,不稳定,稳定,外部,非线性,B,3,a
快速排序的最坏情况,快速排序在最坏情况下的时间复杂度为 ()。,O (n),O (n²),O (nlog₂n),O (log₂n),B,4,b
归并排序的稳定性,归并排序是一种 () 的排序算法。,不稳定,稳定,外部,选择,B,3,a
堆排序的稳定性,堆排序是一种 () 的排序算法。,稳定,不稳定,外部,插入,B,3,a
希尔排序的稳定性,希尔排序是一种 () 的排序算法。,稳定,不稳定,外部,交换,B,3,a
冒泡排序的稳定性,冒泡排序是一种 () 的排序算法。,稳定,不稳定,外部,选择,A,3,a
排序算法的比较,以下排序算法中，稳定的是 ()。,快速排序,堆排序,归并排序,希尔排序,C,4,b
排序算法的比较,以下排序算法中，不稳定的是 ()。,直接插入排序,冒泡排序,简单选择排序,归并排序,C,4,b
外部排序的基本概念,外部排序是指 ()。,排序过程中需访问外存,不需要使用内存,排序算法复杂,排序时间长,A,3,a
排序算法的比较次数,在所有的排序方法中，关键字比较的次数与记录初始排列秩序无关的是（）。,冒泡排序,希尔排序,直接选择排序,直接插人排序,C,3,b
插入排序的概念,从未排序序列中依次取出元素与已经排好序的序列中的元素作比较，将其放入已排序序列的正确位置上，此方法称为（）。,插人排序,选择排序,交换排序,归并排序,A,1,a
选择排序的概念,从未排序序列中挑选元素，并将其放人已排序序列的一端，此方法称为（）。,插入排序,交换排序,选择排序,归并排序,C,1,a
归并排序的概念,依次将每两个相邻的有序表合并成一个有序表的排序方法称为（）。,插人排序,交换排序,选择排序,归并排序,D,1,a
交换排序的概念,当两个元素出现逆序的时候就交换位置，这种排序方法称为（）。,插人排序,交换排序,选择排序,归并排序,B,1,a
快速排序的概念,每次把待排序的区间划分为左、右两个子区间，其中左区间中的记录的关键字均小于等于基准记录的关键字，右区间中记录的关键字均大于等于基准记录的关键字，这种排序称为（）。,插人排序,快速排序,堆排序,归并排序,B,1,a
插入排序的时间复杂度,在正常情况下，直接插人排序的时间复杂度为（）。,O (log2n),O (n),O (n log2n),O (n²),D,1,a
冒泡排序的时间复杂度,在正常情况下，冒泡排序的时间复杂度为（）。,O (log2n),O (n),O (nlog2n),O (n²),D,1,a
归并排序的趟数,在归并排序中，归并趟数的数量级为（）。,O (log2n）,O (n),O (nlog2n),O (n²),A,2,b
归并排序的性能,在归并排序中，每趟需要进行的记录比较和移动次数的数量级为（）。,O (log2n）,O (n),O (nlog2n),O (n²),B,2,b
归并排序的时间复杂度,归并排序算法时间复杂度为（）。,O (log2n）,O (n),O (nlog2n),O (n²),C,2,b
快速排序的平均时间复杂度,平均情况下，快速排序的时间复杂度为（）。,O (log2n）,O (n),O (nlog2n),O (n²),C,2,b
快速排序的最坏时间复杂度,最坏情况下，快速排序的时间复杂度为（）。,O（log2n）,O (n),O (nlog2n),O (n²),D,2,b
堆排序的性能,堆排序中，在每次筛运算中，记录比较和移动次数的数量级为（）。,O（log2n）,O (n),O (nlog2n),O (n²),A,3,c
堆排序的时间复杂度,堆排序算法时间复杂度为（）。,O（log2n）,O (n),O (nlog2n),O (n²),C,2,b
堆排序的应用,设有 800 条记录，希望用最快的方法挑选出其中前 10 个最大的元素，最好选用（）。,插人排序,快速排序,堆排序,归并排序,C,3,c
插入排序的最佳情况,在待排序元素基本有序的情况下，效率最高的排序方法是（）。,插入排序,快速排序,堆排序,归并排序,A,2,b
归并排序的空间复杂度,下面几种排序方法中，要求内存量最大的是（）。,插人排序,交换排序,选择排序,归并排序,D,2,b
排序算法的稳定性,在下列排序方法中，关键字比较的次数与记录的初始排列秩序无关的是（）方法。,希尔排序,冒泡排序,插人排序,选择排序,D,3,b
快速排序的最坏情况,快速排序方法在（）情况下最不利于发挥其长处。,要排序的数据量大大,要排序的数据中含有多个相同值,要排序的数据已基本有序,要排序的数据个数为奇数,C,2,b
二叉排序树的深度,若构造一棵具有 n 个结点的二又树排序，在最坏的情况下，其深度不会超过（）。,n/2,n,(n＋l)/2,n＋l,B,3,c
稳定排序算法,考察下列排序算法的稳定性，（ ）是稳定的排序算法。,直接插人排序、归并排序、冒泡排序,简单选择排序,快速排序,堆排序、希尔排序,A,3,c
内部排序算法的应用,当待排序序列基本有序时，最佳的排序算法是 ()。,快速排序,堆排序,冒泡排序,归并排序,C,4,b
内部排序算法的应用,当待排序序列长度 n 较小时，最佳的排序算法是 ()。,直接插入排序,快速排序,堆排序,归并排序,A,4,b
外部排序的基本概念,外部排序的基本操作是 ()。,归并和置换,排序和合并,置换 - 选择和归并,索引和排序,C,4,b
多路平衡归并与败者树,多路平衡归并中，使用败者树的目的是 ()。,减少归并次数,减少外存读写次数,提高内排序效率,减少内存占用,B,5,c
置换 - 选择排序,置换 - 选择排序生成的初始归并段长度 ()。,固定为内存工作区大小 ,平均为内存工作区大小的 2 倍 ,小于内存工作区大小 ,大于内存工作区大小 ,B,5,c
最佳归并树,构造最佳归并树时，应使权值 () 的叶结点尽量靠近根结点。,最大,最小,中等,任意,B,5,c
B + 树的基本概念,m 阶 B + 树中，非叶子结点的子树个数范围是 ()。,"[1, m]","[⌈m/2⌉, m]","[⌊m/2⌋, m]","[2, m]",B,5,c
外部排序的基本概念,外部排序的主要特点是 ()。,排序过程中需多次访问外存,排序数据量需小于内存容量,排序算法完全不需要内存参与,只能对磁盘文件进行排序,A,3,a
外部排序的基本步骤,外部排序的基本步骤是 ()。,生成初始归并段和多路归并,排序和索引,置换选择和败者树构造,内排序和外排序交替进行,A,4,b
置换 - 选择排序,置换 - 选择排序生成的初始归并段的平均长度约为 ()。,内存工作区大小的 1 倍,内存工作区大小的 2 倍,内存工作区大小的 1.5 倍,与内存工作区大小无关,B,5,c
多路平衡归并与败者树,败者树在多路归并中的主要作用是 ()。,减少磁盘读写次数,减少内存占用,减少比较次数,提高归并路数,C,5,c
最佳归并树,构造最佳归并树时，应使权值较小的叶结点尽量 () 根结点。,远离,靠近,随机分布于,位于,B,4,b
